item,value,date
14650,0.0,2008-12-01
14685,0.0,2008-01-01
14685,0.0,2008-02-01
14685,0.0,2008-03-01
14685,0.0,2008-04-01
14685,0.0,2008-05-01
14685,0.0,2008-06-01
14685,0.0,2008-07-01
14685,0.0,2008-08-01
14685,0.0,2008-09-01
14685,0.0,2008-10-01
14685,0.0,2008-11-01
14685,0.0,2008-12-01
15013,0.0,2008-01-01
15013,0.0,2008-02-01
15013,0.0,2008-03-01
15013,0.0,2008-04-01
15013,0.0,2008-05-01
15013,0.0,2008-06-01
15013,0.0,2008-07-01
15013,0.0,2008-08-01
15013,0.0,2008-09-01
15013,0.0,2008-10-01
15013,0.0,2008-11-01
15013,0.0,2008-12-01
15014,0.0,2008-01-01
15014,0.0,2008-02-01
15014,0.0,2008-03-01
15014,0.0,2008-04-01
15014,0.0,2008-05-01
15014,0.0,2008-06-01
15014,0.0,2008-07-01
15014,0.0,2008-08-01
15014,0.0,2008-09-01
15014,0.0,2008-10-01
15014,0.0,2008-11-01
15014,0.0,2008-12-01
15016,0.0,2008-01-01
15016,0.0,2008-02-01
15016,0.0,2008-03-01
15016,0.0,2008-04-01
15016,0.0,2008-05-01
15016,0.0,2008-06-01
15016,0.0,2008-07-01
15016,0.0,2008-08-01
15016,0.0,2008-09-01
15016,0.0,2008-10-01
15016,0.0,2008-11-01
15016,0.0,2008-12-01
15017,0.0,2008-01-01
15017,0.0,2008-02-01
15017,0.0,2008-03-01
15017,0.0,2008-04-01
15017,0.0,2008-05-01
15017,0.0,2008-06-01
15017,0.0,2008-07-01
15017,0.0,2008-08-01
15017,0.0,2008-09-01
15017,0.0,2008-10-01
15017,0.0,2008-11-01
15017,0.0,2008-12-01
15018,0.0,2008-01-01
15018,0.0,2008-02-01
15018,0.0,2008-03-01
15018,0.0,2008-04-01
15018,0.0,2008-05-01
15018,0.0,2008-06-01
15018,0.0,2008-07-01
15018,0.0,2008-08-01
15018,0.0,2008-09-01
15018,0.0,2008-10-01
15018,0.0,2008-11-01
15018,0.0,2008-12-01
15020,0.0,2008-01-01
15020,916.0,2008-02-01
15020,819.0,2008-03-01
15020,-1.0,2008-04-01
15020,-1.0,2008-05-01
15020,0.0,2008-06-01
15020,0.0,2008-07-01
15020,-1.0,2008-08-01
15020,0.0,2008-09-01
15020,0.0,2008-10-01
15020,0.0,2008-11-01
15020,0.0,2008-12-01
15039,0.0,2008-01-01
15039,899.0,2008-02-01
15039,677.0,2008-03-01
15039,-26.0,2008-04-01
15039,0.0,2008-05-01
15039,0.0,2008-06-01
15039,0.0,2008-07-01
15039,-1.0,2008-08-01
15039,0.0,2008-09-01
15039,0.0,2008-10-01
15039,0.0,2008-11-01
15039,0.0,2008-12-01
15049,129.0,2008-01-01
15049,1754.0,2008-02-01
15049,1568.0,2008-03-01
15049,-48.0,2008-04-01
15049,-1.0,2008-05-01
15049,0.0,2008-06-01
15049,0.0,2008-07-01
15049,0.0,2008-08-01
15049,-1.0,2008-09-01
15049,0.0,2008-10-01
15049,0.0,2008-11-01
15049,0.0,2008-12-01
15059,0.0,2008-01-01
15059,1707.0,2008-02-01
15059,1943.0,2008-03-01
15059,-124.0,2008-04-01
15059,-1.0,2008-05-01
15059,-1.0,2008-06-01
15059,0.0,2008-07-01
15059,-1.0,2008-08-01
15059,0.0,2008-09-01
15059,0.0,2008-10-01
15059,0.0,2008-11-01
15059,0.0,2008-12-01
15069,0.0,2008-01-01
15069,1088.0,2008-02-01
15069,783.0,2008-03-01
15069,-70.0,2008-04-01
15069,-1.0,2008-05-01
15069,0.0,2008-06-01
15069,0.0,2008-07-01
15069,0.0,2008-08-01
15069,0.0,2008-09-01
15069,0.0,2008-10-01
15069,0.0,2008-11-01
15069,0.0,2008-12-01
15079,0.0,2008-01-01
15079,664.0,2008-02-01
15079,2622.0,2008-03-01
15079,-124.0,2008-04-01
15079,0.0,2008-05-01
15079,0.0,2008-06-01
15079,0.0,2008-07-01
15079,-4.0,2008-08-01
15079,0.0,2008-09-01
15079,0.0,2008-10-01
15079,0.0,2008-11-01
15079,0.0,2008-12-01
15140,0.0,2008-01-01
15140,0.0,2008-02-01
15140,0.0,2008-03-01
15140,0.0,2008-04-01
15140,0.0,2008-05-01
15140,0.0,2008-06-01
15140,0.0,2008-07-01
15140,0.0,2008-08-01
15140,0.0,2008-09-01
15140,0.0,2008-10-01
15140,0.0,2008-11-01
15140,0.0,2008-12-01
15142,0.0,2008-01-01
15142,0.0,2008-02-01
15142,0.0,2008-03-01
15142,0.0,2008-04-01
15142,0.0,2008-05-01
15142,0.0,2008-06-01
15142,0.0,2008-07-01
15142,0.0,2008-08-01
15142,0.0,2008-09-01
15142,0.0,2008-10-01
15142,0.0,2008-11-01
15142,0.0,2008-12-01
15157,0.0,2008-01-01
15157,0.0,2008-02-01
15157,0.0,2008-03-01
15157,0.0,2008-04-01
15157,0.0,2008-05-01
15157,0.0,2008-06-01
15157,0.0,2008-07-01
15157,0.0,2008-08-01
15157,0.0,2008-09-01
15157,0.0,2008-10-01
15157,0.0,2008-11-01
15157,0.0,2008-12-01
15159,0.0,2008-01-01
15159,0.0,2008-02-01
15159,0.0,2008-03-01
15159,0.0,2008-04-01
15159,0.0,2008-05-01
15159,0.0,2008-06-01
15159,0.0,2008-07-01
15159,0.0,2008-08-01
15159,0.0,2008-09-01
15159,0.0,2008-10-01
15159,0.0,2008-11-01
15159,0.0,2008-12-01
15161,0.0,2008-01-01
15161,0.0,2008-02-01
15161,0.0,2008-03-01
